time,tx_packets
0.001,14578
0.101,14578
0.201,14578
0.302,14578
0.402,14578
0.502,14578
0.602,14580
0.702,14580
0.802,14580
0.903,14580
1.003,14580
1.103,14580
1.203,14580
1.303,14580
1.404,14580
1.504,14583
1.604,14583
1.704,14583
1.804,14583
1.905,14583
2.005,14583
2.105,14584
2.205,14584
2.306,14584
2.406,14584
2.506,14585
2.607,14585
2.706,14585
2.806,14585
2.907,14585
3.008,14585
3.107,14585
3.207,14585
3.308,14585
3.408,14585
3.508,14585
3.608,14585
3.708,14585
3.808,14585
3.909,14585
4.009,14585
4.109,14585
4.209,14585
4.309,14585
4.410,14585
4.510,14585
4.610,14585
4.710,14585
4.811,14585
4.911,14586
5.011,14587
5.111,14587
5.211,14590
5.312,14590
5.412,14590
5.512,14590
5.612,14590
5.712,14590
5.813,14590
5.913,14590
6.013,14590
6.113,14590
6.213,14591
6.314,14592
6.414,14592
6.514,14592
6.614,14592
6.714,14592
6.815,14592
6.915,14592
7.015,14592
7.115,14592
7.215,14592
7.316,14592
7.416,14592
7.516,14592
7.616,14592
7.716,14592
7.817,14592
7.917,14592
8.017,14592
8.117,14592
8.217,14592
8.318,14592
8.418,14592
8.518,14592
8.618,14592
8.718,14592
8.819,14592
8.919,14592
9.019,14593
9.119,14593
9.219,14593
9.320,14595
9.420,14595
9.520,14595
9.620,14595
9.721,14595
9.821,14595
9.921,14595
10.021,14595
10.121,14595
10.222,14597
10.322,14597
10.422,14598
10.522,14598
10.622,14598
10.723,14598
10.823,14598
10.923,14598
11.023,14598
11.123,14598
11.224,14598
11.324,14598
11.424,14598
11.524,14598
11.624,14598
11.725,14598
11.825,14598
11.925,14598
12.025,14598
12.125,14598
12.225,14598
12.326,14598
12.426,14598
12.526,14598
12.626,14598
12.727,14598
12.827,14598
12.927,14598
13.027,14598
13.127,14598
13.228,14599
13.328,14599
13.428,14599
13.528,14599
13.628,14599
13.729,14599
13.829,14600
13.929,14600
14.029,14601
14.129,14601
14.230,14601
14.330,14601
14.430,14601
14.530,14602
14.630,14602
14.731,14602
14.831,14602
14.931,14602
15.031,14602
15.131,14602
15.232,14602
15.332,14602
15.432,14602
15.532,14602
15.632,14602
15.733,14602
15.833,14602
15.933,14602
16.033,14602
16.134,14602
16.234,14602
16.334,14602
16.434,14602
16.534,14602
16.635,14602
16.735,14602
16.835,14602
16.935,14602
17.035,14602
17.136,14602
17.236,14602
17.336,14602
17.436,14602
17.536,14602
17.637,14602
17.737,14602
17.837,14602
17.937,14602
18.037,14603
18.138,14603
18.238,14604
18.338,14604
18.438,14604
18.539,14604
18.639,14604
18.739,14604
18.839,14607
18.939,14608
19.040,14608
19.140,14608
19.240,14608
19.340,14608
19.440,14608
19.541,14609
19.641,14609
19.741,14609
19.841,14609
19.941,14609
20.042,14609
20.142,14609
20.242,14609
20.342,14609
20.443,14609
20.543,14609
20.643,14609
20.743,14609
20.843,14609
20.944,14609
21.044,14609
21.144,14609
21.244,14609
21.344,14609
21.445,14609
21.545,14609
21.645,14609
21.745,14609
21.845,14609
21.945,14609
22.046,14610
22.146,14610
22.246,14610
22.346,14610
22.447,14610
22.547,14611
22.647,14611
22.747,14611
22.847,14611
22.948,14611
23.048,14611
23.148,14611
23.248,14612
23.348,14612
23.449,14612
23.549,14612
23.649,14612
23.749,14612
23.849,14612
23.950,14612
24.050,14612
24.150,14612
24.250,14612
24.350,14612
24.451,14612
24.551,14612
24.651,14612
24.751,14612
24.851,14612
24.952,14612
25.052,14612
25.152,14612
25.252,14612
25.352,14612
25.453,14612
25.553,14612
25.653,14612
25.753,14612
25.853,14612
25.954,14612
26.054,14613
26.154,14613
26.254,14613
26.354,14613
26.455,14613
26.555,14613
26.655,14613
26.755,14614
26.855,14614
26.956,14614
27.056,14614
27.156,14614
27.256,14614
27.356,14614
27.457,14615
27.557,14615
27.657,14618
27.757,14618
27.857,14618
27.958,14618
28.058,14618
28.158,14618
28.258,14618
28.358,14618
28.459,14618
28.559,14618
28.659,14618
28.759,14618
28.859,14618
28.960,14618
29.060,14618
29.160,14618
29.260,14618
29.360,14618
29.461,14618
29.561,14618
29.661,14618
29.761,14618
29.861,14618
29.962,14618
30.062,14618
30.162,14618
30.262,14618
30.362,14618
30.463,14619
30.563,14619
30.663,14619
30.763,14619
30.864,14619
30.964,14619
31.064,14620
31.164,14620
31.264,14620
31.365,14620
31.465,14620
31.565,14620
31.665,14620
31.765,14620
31.866,14621
31.966,14623
32.066,14623
32.166,14623
32.266,14623
32.367,14623
32.467,14623
32.567,14623
32.667,14623
32.767,14623
32.868,14623
32.968,14623
33.068,14623
33.168,14623
33.268,14623
33.369,14623
33.469,14623
33.569,14623
33.669,14623
33.769,14623
33.870,14623
33.973,14623
34.070,14623
34.170,14623
34.270,14623
34.371,14623
34.471,14623
34.571,14623
34.671,14624
34.772,14624
34.872,14624
34.972,14624
35.072,14624
35.172,14624
35.273,14624
35.373,14624
35.473,14624
35.573,14625
35.673,14625
35.774,14625
35.874,14625
35.974,14625
36.074,14625
36.174,14625
36.275,14629
36.375,14629
36.475,14629
36.575,14629
36.675,14629
36.775,14629
